iteration,resolution,TP,FP,FN,TN,accuracy,error_rate,precision,recall,background_windows,anomalous_windows
0,high,24962,0,2,1863,0.999925,0.000075,1.000000,0.999920,99863,7444
0,med,25104,0,11,2000,0.999594,0.000406,1.000000,0.999562,100439,8020
0,low,25184,0,5,2070,0.999817,0.000183,1.000000,0.999802,100727,8308
1,high,26943,0,2,2864,0.999933,0.000067,1.000000,0.999926,107735,11500
1,med,58474,0,3,19332,0.999961,0.000039,1.000000,0.999949,234263,76972
1,low,74401,0,58,27350,0.999430,0.000570,1.000000,0.999221,297527,109708
2,high,28967,0,2,3925,0.999939,0.000061,1.000000,0.999931,115882,15694
2,med,93288,0,4,36966,0.999969,0.000031,1.000000,0.999957,372762,148270
2,low,125286,2,109,53543,0.999380,0.000620,0.999984,0.999131,501202,214558
3,high,30893,0,2,4760,0.999944,0.000056,1.000000,0.999935,123331,19287
3,med,124872,0,6,52309,0.999966,0.000034,1.000000,0.999952,499395,209351
3,low,171666,6,123,76158,0.999480,0.000520,0.999965,0.999284,687427,304383
4,high,32975,0,2,5675,0.999948,0.000052,1.000000,0.999939,131828,22777
4,med,160942,0,6,67184,0.999974,0.000026,1.000000,0.999963,643844,268681
4,low,224687,15,282,97888,0.999080,0.000920,0.999933,0.998746,899852,391633
5,high,35353,0,2,6096,0.999952,0.000048,1.000000,0.999943,141392,24409
5,med,201438,0,5,74272,0.999982,0.000018,1.000000,0.999975,806432,296425
5,low,284429,12,333,108073,0.999122,0.000878,0.999958,0.998831,1138952,432433
